id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,0.004204730362153929,False,0.6595768249919852
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Điểm đánh giá,rating_average,-0.19020922298443999,0.0,45.97945692591454
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Có đánh giá,has_rating,-0.10320922651273798,0,24.94886478342639
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.03645688783457862,True,8.812758275028713
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Mức giảm giá,discount_rate,-0.035102372805536776,0,8.485330064891773
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.021933916791012194,False,5.302106630189218
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Giá bán,price,-0.01477565293858431,168750,3.571732680373107
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.009716916955512684,False,2.3488796053030123
416307,Sách Tiểu thuyết tiếng Anh - The Best Of Sherlock Holmes,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.002278860136967361,False,0.5508710348732461
416354,Sách Wordsworth Classics: Les Miserables (Volume 2) (Victor Hugo),Có đánh giá,has_rating,0.09196005196267983,1,19.09341595212375
416354,Sách Wordsworth Classics: Les Miserables (Volume 2) (Victor Hugo),Mức giảm giá,discount_rate,-0.08115837410512224,8,16.850692901044017
416354,Sách Wordsworth Classics: Les Miserables (Volume 2) (Victor Hugo),Điểm đánh giá,rating_average,0.08007857937187794,5.0,16.6264980518163
416354,Sách Wordsworth Classics: Les Miserables (Volume 2) (Victor Hugo),Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.07823368978268469,True,16.243448634592127
